sub,lLO_toolloc,lPFS_toolloc,lPPC_spaceloc,lAPC_spaceloc,lPPC_depthloc,lAPC_depthloc,lPPC_distloc,lAPC_distloc,lPPC_toolloc,lAPC_toolloc,rLO_toolloc,rPFS_toolloc,rPPC_spaceloc,rAPC_spaceloc,rPPC_depthloc,rAPC_depthloc,rPPC_distloc,rAPC_distloc,rPPC_toolloc,rAPC_toolloc
docnet2001,0.32,0.25,0.29,0.2,0.15500000000000003,0.07000000000000002,0.275,0.12500000000000003,0.36,0.28,0.225,0.41500000000000004,0.37,0.28500000000000003,0.13000000000000003,0.15000000000000002,0.265,0.29,0.225,0.14500000000000002
docnet2002,0.195,0.24,0.24000000000000005,0.17,0.41500000000000004,0.15999999999999998,0.495,0.215,0.17,0.14500000000000005,0.45,0.32,0.23500000000000001,0.18000000000000002,0.25000000000000006,,0.26,0.13500000000000004,0.155,0.255
docnet2003,0.30500000000000005,0.3,,,,0.24500000000000002,0.30000000000000004,0.24499999999999997,0.15500000000000003,0.14000000000000004,0.35,0.25000000000000006,0.36500000000000005,0.18,0.33,0.25,0.28,0.3,0.26999999999999996,0.17500000000000002
docnet2004,0.335,0.22000000000000003,0.21000000000000002,0.225,,0.19000000000000003,0.38499999999999995,0.16000000000000003,0.29500000000000004,0.19000000000000006,0.15000000000000002,0.18500000000000003,0.27499999999999997,0.23000000000000004,,,0.3,0.185,0.475,0.30000000000000004
docnet2005,0.28500000000000003,0.20500000000000002,0.15500000000000003,0.14500000000000002,,,0.13000000000000006,0.13500000000000004,0.16000000000000003,0.16500000000000004,0.15500000000000003,0.23499999999999996,0.27,0.275,0.15500000000000003,,0.23000000000000004,,0.17500000000000002,0.12500000000000003
docnet2007,0.305,0.12500000000000003,0.255,0.16500000000000004,,0.16000000000000003,0.315,0.25,0.24000000000000005,0.19,0.32000000000000006,0.22999999999999993,0.37000000000000005,0.31000000000000005,0.23000000000000004,0.2,0.32999999999999996,0.15000000000000002,0.34500000000000003,0.21000000000000002
docnet2008,0.275,0.225,0.07,0.07500000000000002,,,,0.16,,,0.13000000000000003,0.19,0.21000000000000002,0.30500000000000005,,,0.095,0.09000000000000002,,
docnet2012,0.24500000000000002,0.18500000000000003,,,,0.11500000000000003,0.19000000000000003,0.18500000000000003,0.13000000000000003,0.09000000000000002,0.255,0.24000000000000005,0.265,0.275,,0.125,0.08000000000000002,0.11499999999999999,,
docnet2013,0.185,0.22000000000000003,0.20999999999999996,0.13,0.185,0.12500000000000003,0.33999999999999997,0.095,0.14,0.16000000000000003,0.21500000000000002,,0.17000000000000004,0.12500000000000003,0.365,0.10499999999999998,0.265,0.08,0.32,
docnet2014,0.29999999999999993,0.28,0.20500000000000002,0.125,,,0.4,0.29,,,0.265,0.305,0.715,0.305,,,0.20500000000000002,0.3600000000000001,,
docnet2015,0.17,0.23000000000000004,0.45,0.24500000000000002,0.41500000000000004,0.30999999999999994,0.42000000000000004,0.215,0.24,0.26,0.4,0.26000000000000006,0.365,0.15500000000000003,0.37500000000000006,0.13500000000000004,0.37999999999999995,0.20000000000000004,0.225,0.265
docnet2016,0.2,0.055000000000000014,0.26000000000000006,0.16000000000000003,,,0.24,0.165,0.36499999999999994,,0.28500000000000003,0.2,0.31,0.11000000000000001,,,0.35,0.12500000000000003,,
