sub,lPPC_spaceloc_lLO_toolloc,lPPC_spaceloc_rLO_toolloc,lAPC_spaceloc_lLO_toolloc,lAPC_spaceloc_rLO_toolloc,lAPC_distloc_lLO_toolloc,lAPC_distloc_rLO_toolloc,rPPC_spaceloc_lLO_toolloc,rPPC_spaceloc_rLO_toolloc,rAPC_spaceloc_lLO_toolloc,rAPC_spaceloc_rLO_toolloc,rAPC_distloc_lLO_toolloc,rAPC_distloc_rLO_toolloc
2001,0.0233388844213568,0.0329628502642818,0.0233388075886691,0.0329628744289502,-0.0216204272954013,0.00177559139524852,0.0175433829437786,0.028184465916083,-0.00144225808624077,0.00771389105995368,0.0125089868989368,0.0176212467129253
2002,0.00125029757022643,0.00268490406851285,0.00130734392277843,0.00252787282177858,0.00215767461056626,0.00184682549185089,0.019026019107214,0.00734216853813185,0.00505677487502276,0.00698447715024231,0.00962044596498224,0.0116616594184382
2003,,,0.00728349423393304,-0.00381871788135557,0.0285228469273477,0.0309145874134844,0.0439314064017526,0.0196256460660837,-0.00938355763731913,0.00247046728165667,,
2004,0.00277012750900107,0.000109736681543904,0.000145427941464993,0.00238657315012381,0.00601239170379375,0.00355490102068967,-0.00429951314948585,-0.000389185413775861,0.0133558228328634,0.0265797933549994,0.0246004186177229,0.0408933693171967
2005,0.000316420205986212,-0.0450293827944355,-0.000582545991225203,0.00102965204467131,-0.0101589485663662,-0.00850568862440126,0.000132023796290959,-0.00935046571405684,0.00111539305079822,0.00445856891470509,,
2007,-0.0124654710037024,-0.018528433640868,-0.00368563277506384,-0.0113466878539594,0.00887423577808755,-0.00296794604501405,-0.0047689670870279,-0.00734806636890006,-0.00512384187542581,-0.00765403458608827,0.0181587081900825,-0.00447676559106824
2008,0.0253049565839838,0.000482738910528413,0.000461224528344295,2.8277308550706e-05,0.000820387210829554,-0.00639013983367931,0.0143701606468805,-0.000501972259349781,0.00958345496470425,0.00161977131676849,-0.00236665676846548,0.00249198557836383
2012,,,0.00596316718985812,-0.00339461747408087,0.0061428481027459,-0.0260092144529875,-0.0130182572754267,-0.00889623941272144,0.000143973603563774,0.00555463611869955,,
2013,0.0111747218546454,0.00284922498399709,6.43470787100586e-05,0.00960690868802128,-0.0152725175233765,-0.0186579485769083,-0.018022898145063,0.00271720722146718,0.000160510940729441,0.0140066486463923,-0.0147003324074459,0.00668899936367873
2014,0.0335514585350312,0.0181734216821692,0.020348232673095,0.0188389062965044,0.0487222228020376,0.0237464532140135,0.0142026905446748,0.0179915488304869,0.0621845096491958,0.0377768529784883,0.0506679563298382,0.0321460512310539
2015,0.0181251119067292,0.00696828256244197,0.0144089971245913,0.0137740429016975,0.0313633768645025,0.0308925299261897,0.026124421862934,0.0987445285707231,0.00667051865514323,0.00981122356683395,0.0126756686023006,0.0608525995662381
2016,0.0567871733786021,0.0248160123440055,0.0567872413621646,0.0248159765336993,0.0381868838219952,0.0128454108761586,0.03196508655845,0.012630761109143,0.0188040954813529,0.00347830413873718,0.0666344216791976,0.0112486675929455
