,space,feature,3D,2D,distance,luminance,tool,non_tool
0,3.3014244665979997,4.126338431253999,0.6979293134041,0.7449591042666,1.0092481082008002,-0.5096510997458998,-0.22144206085163012,-1.7400682363438003
1,3.315742231602999,1.3817980256094002,6.301026592492199,1.5927706961158306,0.7900243903559797,1.12221672726756,4.863688093491702,1.8974799858843991
2,,,,,,,,
3,2.891937881545299,0.6985244982617098,-1.6473248928140007,-2.817396091489799,-0.4618689479308001,-0.8026974598176001,0.783836099759,-0.4775961494336002
4,1.4010308676377001,-0.20755400513112005,-3.321071435537499,-2.3909990866854107,-1.12379190268286,-1.405656126134209,0.58426785482193,-0.7977517771664001
5,1.9667421476650997,1.1796649974802003,0.6105550027708999,2.2328687267989005,2.29998566051446,1.7563180406154006,1.0545939464940997,0.7522666112163199
6,9.904904128480004,9.146061599240005,7.772258146351003,7.594209621041002,4.2550027268470005,3.255217691661,11.45254311202,9.358358204199996
7,,,,,,,,
8,7.745929525543001,2.67587920524,7.6114320566739995,6.660475053026994,4.245766625429999,3.2175553585866,4.692961488121002,2.0059731682371003
9,3.9834832542049012,1.7966731039824229,2.2606092554943,3.486563191198401,2.2842850059452005,2.1055135093295494,1.4049704967146,1.31260665058
10,6.393745675771089,2.2815118404667984,0.9018826215445993,-0.9690753485874005,3.68467734379293,2.6326420091408993,1.8132684880986003,-0.08211740420518002
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
14,6.376117497486304,2.737713438319901,6.907701609655069,3.924835025583398,5.009790153465999,2.462131979029302,6.802534525132699,5.730146791958999
15,9.023839591724002,6.456641873647002,5.875852035035798,7.437889624994195,5.1678985151129995,3.3224944535842997,6.684215073167397,6.081960149973998
16,8.935170528174002,6.485903186793001,11.076007276584999,11.158648116146999,2.1441189935117992,1.2533188012582004,6.2984985523006,4.698768668655001
17,9.46499054243,6.405158498411998,9.25330083418,10.656337435139996,3.5499924648519023,0.9380743229192996,9.059588251300001,6.2268429368464
